SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,407 Red Bud Dr,Mahomet,IL,61853,392000,4,2.5,Western Champaign County / Piatt & McClean Counties,1974,9570,2024,6,199,,Active,,,https://www.redfin.com/IL/Mahomet/407-Red-Bud-Dr-61853/home/176080641,MRED as Distributed by MLS Grid,12078280,N,Y,40.1981039,-88.3674135
MLS Listing,,Multi-Family (2-4 Unit),1402 W Beech St,Urbana,IL,61801,89900,2,2.0,Urbana,,8712,1913,6,,,Active,,,https://www.redfin.com/IL/Urbana/1402-W-Beech-St-61801/home/126907056,MRED as Distributed by MLS Grid,12154927,N,Y,40.1224036,-88.2273674
MLS Listing,,Single Family Residential,2908 Blair Dr,Champaign,IL,61821,184900,3,1.5,"Champaign, Savoy",1438,8800,1959,6,129,,Active,,,https://www.redfin.com/IL/Champaign/2908-Blair-Dr-61821/home/126644682,MRED as Distributed by MLS Grid,12161386,N,Y,40.1111051,-88.2946346
MLS Listing,,Single Family Residential,4703 W Kirby Ave,Champaign,IL,61822,2100000,8,6.5,"Champaign, Savoy",7911,92782,2008,6,265,,Active,,,https://www.redfin.com/IL/Champaign/4703-W-Kirby-Ave-61822/home/127054725,MRED as Distributed by MLS Grid,12155966,N,Y,40.0980806,-88.324141
MLS Listing,,Single Family Residential,216 Red Bud Dr,Mahomet,IL,61853,392000,4,2.5,Western Champaign County / Piatt & McClean Counties,2014,9570,2024,6,195,,Active,,,https://www.redfin.com/IL/Mahomet/216-Red-Bud-Dr-61853/home/176080645,MRED as Distributed by MLS Grid,12077030,N,Y,40.1981286,-88.3685681
MLS Listing,,Townhouse,3301 Stoneway Ct,Champaign,IL,61822,279000,3,2.5,Boulder Ridge,1469,,2022,6,190,10,Active,,,https://www.redfin.com/IL/Champaign/3301-Stoneway-Ct-61822/home/127002632,MRED as Distributed by MLS Grid,12161828,N,Y,40.133164,-88.300291
MLS Listing,,Single Family Residential,2797 County Road 1700 N,Ogden,IL,61859,180000,3,2.0,Eastern Champaign County / Vermillion County,1341,53143,2013,7,134,,Active,,,https://www.redfin.com/IL/Ogden/2797-County-Road-1700-N-61859/home/172918906,MRED as Distributed by MLS Grid,12161484,N,Y,40.1261604,-87.9428076
MLS Listing,,Single Family Residential,808 S Prairie St,Champaign,IL,61820,174000,2,2.0,"Champaign, Savoy",1236,5600,,7,141,,Active,,,https://www.redfin.com/IL/Champaign/808-S-Prairie-St-61820/home/126971593,MRED as Distributed by MLS Grid,12163161,N,Y,40.1061999,-88.248126
MLS Listing,,Single Family Residential,2002 E Country Squire Dr,Urbana,IL,61802,129000,3,2.0,Country Squire Estates,1665,6098,1963,7,77,,Active,,,https://www.redfin.com/IL/Urbana/2002-E-Country-Squire-Dr-61802/home/126729325,MRED as Distributed by MLS Grid,12157930,N,Y,40.1026822,-88.1836315
MLS Listing,,Single Family Residential,816 W Vine St,Champaign,IL,61820,159000,3,2.0,"Champaign, Savoy",1360,5800,,7,117,,Active,,,https://www.redfin.com/IL/Champaign/816-W-Vine-St-61820/home/126426606,MRED as Distributed by MLS Grid,12135480,N,Y,40.1223724,-88.2564861
MLS Listing,,Vacant Land,2612 Brownfield Rd,Urbana,IL,61802,475000,,,Urbana,,554954,,7,,,Active,,,https://www.redfin.com/IL/Urbana/2612-Brownfield-Rd-61802/home/126734365,MRED as Distributed by MLS Grid,12160688,N,Y,40.1409116,-88.1698233
MLS Listing,,Single Family Residential,1007 Maplepark Dr,Champaign,IL,61821,159900,4,1.0,"Champaign, Savoy",1113,6534,1964,7,144,,Active,,,https://www.redfin.com/IL/Champaign/1007-Maplepark-Dr-61821/home/126586511,MRED as Distributed by MLS Grid,12157438,N,Y,40.1054008,-88.2946264
MLS Listing,,Single Family Residential,1002 E Florida Ave,Urbana,IL,61801,139900,3,1.0,Fairlawn Park,870,6900,1952,7,161,,Active,,,https://www.redfin.com/IL/Urbana/1002-E-Florida-Ave-61801/home/126865935,MRED as Distributed by MLS Grid,12159939,N,Y,40.0986167,-88.1965156
MLS Listing,,Single Family Residential,806 S Mccullough St,Urbana,IL,61801,187500,2,1.0,Urbana,953,3591,1920,7,197,,Active,,,https://www.redfin.com/IL/Urbana/806-S-McCullough-St-61801/home/126798863,MRED as Distributed by MLS Grid,12161373,N,Y,40.1059791,-88.2129346
MLS Listing,,Single Family Residential,8 Cedar Grove Ct,Savoy,IL,61874,475000,3,2.5,Fieldstone,1827,8929,2015,7,260,,Active,,,https://www.redfin.com/IL/Savoy/8-Cedar-Grove-Ct-61874/home/126739707,MRED as Distributed by MLS Grid,12148779,N,Y,40.0381746,-88.2488333
MLS Listing,,Townhouse,1021 Pheasant Cir,Savoy,IL,61874,249900,3,2.0,"Champaign, Savoy",1379,,1996,7,181,75,Active,,,https://www.redfin.com/IL/Savoy/1021-Pheasant-Cir-61874/home/127086448,MRED as Distributed by MLS Grid,12161968,N,Y,40.0667563,-88.2568167
MLS Listing,,Single Family Residential,1807 Vale St,Champaign,IL,61822,655000,5,4.0,Trails Edge,2907,11761,2005,7,225,,Active,,,https://www.redfin.com/IL/Champaign/1807-Vale-St-61822/home/127007426,MRED as Distributed by MLS Grid,12158554,N,Y,40.0930148,-88.3256947
MLS Listing,,Multi-Family (5+ Unit),617 W Springfield Ave,Champaign,IL,61820,350000,5,5.0,"Champaign, Savoy",,7840,1903,7,,,Active,,,https://www.redfin.com/IL/Champaign/617-W-Springfield-Ave-61820/home/126940273,MRED as Distributed by MLS Grid,12149514,N,Y,40.1124315,-88.25381
MLS Listing,,Multi-Family (5+ Unit),202 S Grove St,Urbana,IL,61802,210000,5,5.0,Urbana,,9930,1913,7,,,Active,,,https://www.redfin.com/IL/Urbana/202-S-Grove-St-61802/home/126907306,MRED as Distributed by MLS Grid,12162084,N,Y,40.111597,-88.2011661
MLS Listing,,Single Family Residential,606 W Park St,Thomasboro,IL,61878,119900,3,1.0,Northern Champaign County / Ford County,1152,10454,1966,8,104,,Active,,,https://www.redfin.com/IL/Thomasboro/606-W-Park-St-61878/home/126567954,MRED as Distributed by MLS Grid,12161590,N,Y,40.2407949,-88.1925986
MLS Listing,,Multi-Family (2-4 Unit),706 E Colorado Ave,Urbana,IL,61801,219900,6,2.0,Urbana,,12240,1977,8,,,Active,,,https://www.redfin.com/IL/Urbana/706-E-Colorado-Ave-61801/home/127106622,MRED as Distributed by MLS Grid,12155456,N,Y,40.0949297,-88.1977715
MLS Listing,,Single Family Residential,203 N Lane St,Potomac,IL,61865,89900,2,2.0,Balance of Vermillion County,1045,6150,1963,8,86,,Active,,,https://www.redfin.com/IL/Potomac/203-N-Lane-St-61865/home/138197543,MRED as Distributed by MLS Grid,12161248,N,Y,40.3085982,-87.7969235
MLS Listing,,Multi-Family (5+ Unit),1008 S Busey Ave,Urbana,IL,61801,495000,11,6.0,Urbana,,5940,1900,8,,,Active,,,https://www.redfin.com/IL/Urbana/1008-S-Busey-Ave-61801/home/126651237,MRED as Distributed by MLS Grid,12148787,N,Y,40.104042,-88.2173349
MLS Listing,,Single Family Residential,2414 Elizabeth St,Urbana,IL,61802,194500,3,2.0,Urbana,1597,11600,,9,122,,Active,,,https://www.redfin.com/IL/Urbana/2414-Elizabeth-St-61802/home/126853593,MRED as Distributed by MLS Grid,12150745,N,Y,40.1190427,-88.1740797
MLS Listing,,Single Family Residential,704 S Main St,Homer,IL,61849,199900,3,2.5,Eastern Champaign County / Vermillion County,1852,24393,1916,9,108,,Active,,,https://www.redfin.com/IL/Homer/704-S-Main-St-61849/home/126504965,MRED as Distributed by MLS Grid,12108144,N,Y,40.0292634,-87.958792
MLS Listing,,Townhouse,2005 Vawter St,Urbana,IL,61801,125000,3,1.5,Urbana,1260,,1966,9,99,145,Active,,,https://www.redfin.com/IL/Urbana/2005-Vawter-St-61801/home/126663804,MRED as Distributed by MLS Grid,12157179,N,Y,40.0928044,-88.1921511
MLS Listing,,Single Family Residential,411 S White St,Sidney,IL,61877,221900,3,2.0,Eastern Champaign County / Vermillion County,1539,,1988,9,144,,Active,,,https://www.redfin.com/IL/Sidney/411-S-White-St-61877/home/126931675,MRED as Distributed by MLS Grid,12132389,N,Y,40.0213234,-88.0679656
MLS Listing,,Single Family Residential,405 N Lynn St,Champaign,IL,61820,250000,4,2.0,"Champaign, Savoy",2043,6732,1903,9,122,,Active,,,https://www.redfin.com/IL/Champaign/405-N-Lynn-St-61820/home/126786360,MRED as Distributed by MLS Grid,12147473,N,Y,40.1197341,-88.2520667
MLS Listing,,Single Family Residential,309 Harpers Fry,Savoy,IL,61874,549900,5,3.5,Liberty on the Lakes,2300,8520,2024,9,239,19,Active,,,https://www.redfin.com/IL/Savoy/309-Harpers-Ferry-61874/home/172916765,MRED as Distributed by MLS Grid,12158993,N,Y,40.0579127,-88.2674094
MLS Listing,,Single Family Residential,807 W Harvard St,Champaign,IL,61820,89900,2,1.0,"Champaign, Savoy",652,5750,1948,10,138,,Active,,,https://www.redfin.com/IL/Champaign/807-W-Harvard-St-61820/home/126620518,MRED as Distributed by MLS Grid,12159036,N,Y,40.1237788,-88.2557455
MLS Listing,,Single Family Residential,1406 Scottsdale Dr,Champaign,IL,61821,189000,3,1.0,HOLIDAY PARK,1015,7840,1965,10,186,,Active,September-22-2024 02:00 PM,September-22-2024 04:00 PM,https://www.redfin.com/IL/Champaign/1406-Scottsdale-Dr-61821/home/127076830,MRED as Distributed by MLS Grid,12151028,N,Y,40.1002867,-88.2881005
MLS Listing,,Multi-Family (5+ Unit),407 E Elm St,Urbana,IL,61802,365000,5,5.0,Urbana,,8276,1989,10,,,Active,,,https://www.redfin.com/IL/Urbana/407-E-Elm-St-61802/home/192428924,MRED as Distributed by MLS Grid,12149160,N,Y,40.1114414,-88.2028422
MLS Listing,,Single Family Residential,2503 Appaloosa Ln,Mahomet,IL,61853,374900,3,2.0,Meadow,2639,28314,1995,10,142,,Active,,,https://www.redfin.com/IL/Mahomet/2503-Appaloosa-Ln-61853/home/126565721,MRED as Distributed by MLS Grid,12140608,N,Y,40.2289592,-88.3632033
MLS Listing,,Single Family Residential,108 W Franklin St,Fithian,IL,61844,160000,3,1.5,Fithian,1786,18731,1884,11,90,,Active,,,https://www.redfin.com/IL/Fithian/108-W-Franklin-St-61844/home/137745621,CIBR,6245449,N,Y,40.116339,-87.8742631
MLS Listing,,Single Family Residential,1404 English Oak Dr,Champaign,IL,61822,995000,6,5.5,Abbey Fields,4965,15245,2008,12,200,33,Active,,,https://www.redfin.com/IL/Champaign/1404-English-Oak-Dr-61822/home/127045042,MRED as Distributed by MLS Grid,12158062,N,Y,40.1018167,-88.3275078
MLS Listing,,Single Family Residential,414 S Dodson Dr,Urbana,IL,61802,208000,5,2.0,Urbana,1924,6000,1964,12,108,,Active,September-22-2024 02:00 PM,September-22-2024 04:00 PM,https://www.redfin.com/IL/Urbana/414-Dodson-Dr-S-61802/home/126975064,MRED as Distributed by MLS Grid,12129419,N,Y,40.1074167,-88.1759786
MLS Listing,,Single Family Residential,1008 Austin Dr,Urbana,IL,61802,124000,3,1.0,Urbana,967,6000,1974,12,128,,Active,,,https://www.redfin.com/IL/Urbana/1008-Austin-Dr-61802/home/126477457,MRED as Distributed by MLS Grid,12147557,N,Y,40.1045624,-88.1873151
MLS Listing,,Single Family Residential,2110 Country Squire Dr,Urbana,IL,61802,112500,3,1.0,Urbana,975,,1971,12,115,,Active,,,https://www.redfin.com/IL/Urbana/2110-E-Country-Squire-Dr-61802/home/126655810,MRED as Distributed by MLS Grid,12130260,N,Y,40.1027035,-88.1801325
MLS Listing,,Single Family Residential,1204 Oak Creek Rd,Mahomet,IL,61853,1250000,7,6.0,Oak Creek,6200,53578,1996,12,202,43,Active,,,https://www.redfin.com/IL/Mahomet/1204-Oak-Creek-Rd-61853/home/126944711,MRED as Distributed by MLS Grid,12151858,N,Y,40.1840486,-88.3872638
MLS Listing,,Single Family Residential,1608 Gates Dr,Rantoul,IL,61866,115000,3,1.0,Northern Champaign County / Ford County,1077,7840,1965,12,107,,Active,,,https://www.redfin.com/IL/Rantoul/1608-Gates-Dr-61866/home/126824236,MRED as Distributed by MLS Grid,12157991,N,Y,40.3102772,-88.1282049
MLS Listing,,Single Family Residential,21134 State Route 49 Rd,Fithian,IL,61844,218000,4,2.0,Balance of Vermillion County,2440,65340,,13,89,,Active,,,https://www.redfin.com/IL/Fithian/21134-State-Route-49-61844/home/137746898,MRED as Distributed by MLS Grid,12157034,N,Y,40.173277,-87.904309
MLS Listing,,Single Family Residential,816 N Prospect Ave,Champaign,IL,61820,89900,3,1.0,"Champaign, Savoy",884,9120,,13,102,,Active,,,https://www.redfin.com/IL/Champaign/816-N-Prospect-Ave-61820/home/126776097,MRED as Distributed by MLS Grid,12157785,N,Y,40.1243794,-88.2576342
